exit_time,direction,entry_price,exit_price,notional,exit_reason,pnl_usdt,capital,drawdown
2026-02-13 21:00:00+00:00,long,2044.61,2055.45275,12571.288,TP1,60.381,10060.381,0.0
2026-02-13 22:10:00+00:00,long,2044.61,2044.61,12571.288,SL,-12.5713,10047.8097,0.00125
2026-02-23 08:40:00+00:00,short,1876.78,1877.34,18498.6545,TIMEOUT,-24.0183,10023.7914,0.003637
2026-02-28 13:30:00+00:00,short,1873.53,1868.07,16158.3789,TIMEOUT,30.9317,10054.7231,0.000562
2026-03-06 20:25:00+00:00,short,1983.0,1973.4315,13891.774,TP1,60.0856,10114.8087,0.0
2026-03-06 21:20:00+00:00,short,1983.0,1972.12,13891.774,TIMEOUT,62.3273,10177.1361,0.0
2026-03-16 09:45:00+00:00,long,2241.92,2260.242,8301.9775,TP1,63.6966,10240.8327,0.0
2026-03-16 10:45:00+00:00,long,2241.92,2266.58,8301.9775,TIMEOUT,83.0156,10323.8483,0.0
2026-03-18 18:50:00+00:00,short,2211.8,2187.07075,6155.8108,TP1,65.7477,10389.596,0.0
2026-03-18 20:05:00+00:00,short,2211.8,2164.2,6155.8108,TIMEOUT,126.323,10515.919,0.0
2026-03-24 00:05:00+00:00,long,2149.07,2145.95,28523.1746,TIMEOUT,-69.9329,10445.9862,0.00665
2026-03-26 14:20:00+00:00,short,2080.07,2073.05175,20639.8864,TP1,59.32,10505.3061,0.001009
2026-03-26 14:30:00+00:00,short,2080.07,2080.07,20639.8864,SL,-20.6399,10484.6662,0.002972
2026-03-27 16:00:00+00:00,short,1998.61,1986.07825,11147.5566,TP1,64.324,10548.9902,0.0
2026-03-27 17:40:00+00:00,short,1998.61,1975.9,11147.5566,TIMEOUT,115.521,10664.5112,0.0
2026-04-06 06:50:00+00:00,long,2121.47,2129.55475,18656.0628,TP1,61.7687,10726.2799,0.0
2026-04-06 07:50:00+00:00,long,2121.47,2138.081042,18656.0628,TP2,127.4203,10853.7002,0.0
2026-04-14 06:20:00+00:00,long,2358.98,2364.3115,32015.5826,TP1,56.3502,10910.0504,0.0
2026-04-14 06:50:00+00:00,long,2358.98,2372.422618,32015.5826,TP2,150.4248,11060.4753,0.0
2026-04-17 20:15:00+00:00,long,2420.52,2431.51,17065.4056,TIMEOUT,60.4175,11120.8927,0.0
2026-04-26 21:55:00+00:00,long,2356.48,2363.3925,25274.176,TP1,61.5022,11182.3949,0.0
2026-04-26 22:15:00+00:00,long,2356.48,2371.659254,25274.176,TP2,137.5293,11319.9242,0.0
2026-05-01 08:10:00+00:00,long,2276.14,2281.57525,31603.2471,TP1,59.6645,11379.5888,0.0
2026-05-01 08:20:00+00:00,long,2276.14,2287.423612,31603.2471,TP2,125.065,11504.6537,0.0
2026-05-04 08:30:00+00:00,long,2362.21,2358.26,19038.3474,TIMEOUT,-50.8736,11453.7801,0.004422
