exit_time,direction,entry_price,exit_price,notional,exit_reason,pnl_usdt,capital,drawdown
2026-02-16 06:20:00+00:00,short,0.9726,0.958266,45581.7223,TP2,626.1981,10626.1981,0.0
2026-02-16 09:10:00+00:00,short,0.966,0.967798,53130.9907,SL,-152.0297,10474.1684,0.014307
2026-02-17 02:45:00+00:00,long,0.99,0.998839,52370.8421,TP2,415.1935,10889.362,0.0
2026-02-19 01:40:00+00:00,short,0.9315,0.934294,54446.8098,SL,-217.7434,10671.6186,0.019996
2026-02-19 19:20:00+00:00,short,0.9147,0.9124,32195.6858,TIMEOUT,48.7599,10720.3785,0.015518
2026-02-20 05:05:00+00:00,long,0.9332,0.930329,53601.8923,SL,-218.4872,10501.8913,0.035582
2026-02-27 08:05:00+00:00,long,0.9453,0.957559,51579.479,TP2,617.3081,11119.1994,0.0
2026-03-01 08:20:00+00:00,long,0.9218,0.9262,28397.3762,TIMEOUT,107.151,11226.3503,0.0
2026-03-01 09:35:00+00:00,long,0.9132,0.907142,33845.1357,SL,-258.3721,10967.9782,0.023015
2026-03-02 23:05:00+00:00,long,0.9267,0.9306,32913.2577,TIMEOUT,105.6016,11073.5798,0.013608
2026-03-03 13:45:00+00:00,short,0.9074,0.889931,32538.0815,TP2,593.8651,11667.4449,0.0
2026-03-07 04:00:00+00:00,short,0.9049,0.896108,58337.2245,TP2,508.4462,12175.8911,0.0
2026-03-11 02:35:00+00:00,short,0.9588,0.948153,60879.4557,TP2,615.1854,12791.0765,0.0
2026-03-14 04:35:00+00:00,short,0.9977,1.001512,63955.3827,SL,-308.3073,12482.7692,0.024103
2026-03-22 05:40:00+00:00,short,0.9405,0.9364,50474.4623,TIMEOUT,169.5631,12652.3323,0.010847
2026-03-26 15:05:00+00:00,short,0.9301,0.919682,63261.6614,TP2,645.2966,13297.6289,0.0
2026-03-27 17:40:00+00:00,short,0.896,0.8849,54851.0454,TIMEOUT,624.6653,13922.2942,0.0
2026-03-28 07:05:00+00:00,short,0.8772,0.878392,69611.4709,SL,-164.244,13758.0502,0.011797
2026-03-28 07:55:00+00:00,short,0.8798,0.882472,68790.2508,SL,-277.7002,13480.35,0.031744
2026-03-30 14:35:00+00:00,long,0.8821,0.879158,67401.7499,SL,-292.192,13188.1579,0.052731
2026-03-30 15:15:00+00:00,long,0.8818,0.879057,65940.7896,SL,-271.071,12917.0869,0.072201
2026-04-01 10:00:00+00:00,long,0.8939,0.890105,60851.5626,SL,-319.1933,12597.8936,0.095128
2026-04-05 17:35:00+00:00,short,0.8516,0.8493,47268.0323,TIMEOUT,80.3934,12678.287,0.089354
2026-04-06 16:40:00+00:00,long,0.8972,0.8997,45239.7081,TIMEOUT,80.8183,12759.1053,0.083549
2026-04-07 06:50:00+00:00,short,0.8748,0.8697,61243.7057,TIMEOUT,295.8012,13054.9066,0.062302
2026-04-09 07:40:00+00:00,short,0.912,0.9098,65274.5328,TIMEOUT,92.186,13147.0925,0.055681
2026-04-09 11:15:00+00:00,short,0.9128,0.906279,65735.4626,TP2,403.9099,13551.0024,0.026669
2026-04-17 01:45:00+00:00,long,0.9967,0.992256,60787.7767,SL,-331.8078,13219.1946,0.050502
2026-04-17 02:20:00+00:00,long,0.9921,0.985314,38654.5469,SL,-303.0384,12916.1562,0.072268
2026-04-18 07:10:00+00:00,short,1.0023,1.0016,64580.7809,TIMEOUT,-19.478,12896.6782,0.073667
2026-04-26 00:35:00+00:00,short,0.9383,0.9351,64483.391,TIMEOUT,155.4323,13052.1105,0.062503
2026-04-27 14:35:00+00:00,short,0.9311,0.93317,65260.5523,SL,-210.3463,12841.7642,0.077611
2026-05-01 07:15:00+00:00,long,0.9143,0.912667,64208.8208,SL,-178.8988,12662.8654,0.090461
2026-05-07 06:30:00+00:00,short,0.9809,0.987963,35171.4139,SL,-288.4287,12374.4367,0.111178
2026-05-08 22:10:00+00:00,long,1.02,1.028541,61872.1833,TP2,456.2307,12830.6673,0.078409
2026-05-09 08:40:00+00:00,long,1.0675,1.0748,31520.7188,TIMEOUT,184.0308,13014.6981,0.06519
2026-05-11 04:05:00+00:00,long,1.3046,1.287131,19438.5605,SL,-279.7325,12734.9656,0.085283
