exit_time,direction,entry_price,exit_price,notional,exit_reason,peak_loss_ratio,pnl_usdt,capital,drawdown
2025-05-13 19:00:00+00:00,long,2548.56,2724.21749,7254.3448,TP,0.006564,492.7457,10492.7457,0.0
2025-05-14 02:00:00+00:00,long,2690.02,2644.436869,6192.1362,SL,0.015185,-111.1196,10381.6261,0.01059
2025-05-18 17:00:00+00:00,long,2556.82,2532.309877,10829.7904,SL,0.03073,-114.6461,10266.98,0.021516
2025-05-20 07:00:00+00:00,long,2566.01,2525.738535,6541.896,SL,0.011261,-109.2117,10157.7683,0.031925
2025-05-21 07:00:00+00:00,long,2592.49,2559.691277,8028.9446,SL,0.015135,-109.6066,10048.1617,0.042371
2025-05-23 11:00:00+00:00,long,2628.6,2580.905269,5537.844,SL,0.01648,-106.0195,9942.1422,0.052475
2025-05-26 02:00:00+00:00,long,2570.58,2546.02534,10408.2367,SL,0.01001,-109.8297,9832.3126,0.062942
2025-05-29 02:00:00+00:00,long,2634.54,2788.377725,8419.138,TP,0.009276,483.1965,10315.5091,0.016891
2025-05-29 04:00:00+00:00,long,2770.21,2732.959658,7671.3729,SL,0.018845,-110.8265,10204.6826,0.027454
2025-06-05 16:00:00+00:00,long,2583.4,2559.954115,11244.0957,SL,0.014241,-113.2909,10091.3917,0.038251
2025-06-08 09:00:00+00:00,long,2514.7,2499.653384,16865.4686,SL,0.020882,-117.7794,9973.6123,0.049475
2025-06-10 11:00:00+00:00,long,2642.59,2774.942826,9956.7833,TP,0.00074,488.7238,10462.3361,0.002898
2025-06-10 13:00:00+00:00,long,2772.99,2738.518849,8416.2997,SL,0.016243,-113.0397,10349.2965,0.013671
2025-06-11 18:00:00+00:00,long,2839.76,2806.137467,8741.0183,SL,0.01165,-112.234,10237.0625,0.024368
2025-06-15 06:00:00+00:00,long,2550.24,2533.534664,15627.9204,SL,0.011523,-117.9985,10119.0639,0.035613
2025-06-16 11:00:00+00:00,long,2627.71,2603.114827,10811.0504,SL,0.014674,-112.0017,10007.0622,0.046288
2025-06-16 22:00:00+00:00,long,2659.2,2636.670357,11811.4521,SL,0.052908,-111.8821,9895.1802,0.05695
2025-06-20 17:00:00+00:00,short,2481.65,2371.215515,11118.0732,TP,0.002232,483.6409,10378.8211,0.010857
2025-06-21 21:00:00+00:00,short,2417.86,2240.350113,7068.4898,TP,0.008478,511.8726,10890.6937,0.0
2025-06-23 19:00:00+00:00,short,2280.35,2322.182102,5936.7309,SL,0.010764,-114.8437,10775.85,0.010545
2025-06-24 17:00:00+00:00,long,2477.86,2446.423688,8493.6959,SL,0.011356,-116.2522,10659.5978,0.02122
2025-06-29 12:00:00+00:00,long,2460.82,2450.523015,21319.1956,SL,0.010744,-110.5266,10549.0712,0.031368
2025-06-30 06:00:00+00:00,long,2501.0,2479.334597,12177.5841,SL,0.021721,-117.6683,10431.4029,0.042173
2025-07-01 14:00:00+00:00,short,2436.26,2452.628036,15526.3643,SL,0.011632,-119.8404,10311.5625,0.053177
2025-07-02 04:00:00+00:00,short,2418.54,2440.498214,11357.4475,SL,0.01011,-114.4731,10197.0894,0.063688
2025-07-02 19:00:00+00:00,long,2497.74,2597.592179,12753.6917,TP,0.001853,497.1008,10694.1902,0.018043
2025-07-02 23:00:00+00:00,long,2603.65,2574.859614,9671.2592,SL,0.012351,-116.6132,10577.577,0.028751
2025-07-03 14:00:00+00:00,long,2623.76,2594.849888,9599.7632,SL,0.014365,-115.3755,10462.2015,0.039345
2025-07-06 16:00:00+00:00,long,2557.39,2541.413967,16747.5428,SL,0.010347,-121.3696,10340.8319,0.050489
2025-07-08 14:00:00+00:00,long,2573.88,2557.83726,16590.7198,SL,0.010921,-119.999,10220.8329,0.061508
2025-07-09 03:00:00+00:00,long,2615.63,2592.054386,11339.6481,SL,0.011512,-113.548,10107.2849,0.071934
