exit_time,direction,level,profit_level,exit_reason,notional,entry_capital,peak_loss_ratio,pnl_usdt,capital,drawdown
2021-05-22 14:00:00+00:00,short,0,0,TP,500.0,10000.0,0.000242,9.5,10009.5,0.0
2021-05-24 22:00:00+00:00,short,0,0,TP,500.475,10009.5,0.0,9.509,10019.009,0.0
2021-05-26 13:00:00+00:00,short,1,0,TP,500.95045125,10019.009025,0.001729,18.9399,10037.9489,0.0
2021-05-30 12:00:00+00:00,short,1,0,TP,501.89744405401984,10037.948881080396,0.000982,18.9757,10056.9245,0.0
2021-06-04 05:00:00+00:00,short,2,0,TP,502.846227045809,10056.92454091618,0.005017,28.2757,10085.2002,0.0
2021-06-05 09:00:00+00:00,short,0,0,TP,504.2600124591266,10085.200249182531,0.000241,9.5809,10094.7812,0.0
2021-06-07 17:00:00+00:00,short,0,0,TP,504.73905947096273,10094.781189419255,0.000334,9.59,10104.3712,0.0
2021-06-12 04:00:00+00:00,short,5,0,TP,505.21856157746015,10104.371231549203,0.016834,54.1957,10158.5669,0.0
2021-06-13 12:00:00+00:00,long,0,1,TP,507.9283441748889,10158.566883497777,0.000324,19.341,10177.9079,0.0
2021-06-16 18:00:00+00:00,long,1,0,TP,508.89539514140597,10177.90790282812,0.000762,19.444,10197.3519,0.0
2021-06-23 13:00:00+00:00,long,10,0,TP,509.86759305853224,10197.351861170644,0.078227,129.9494,10327.3012,0.0
2021-06-25 07:00:00+00:00,short,2,1,TP,516.3650621151388,10327.301242302776,0.002312,38.8246,10366.1259,0.0
2021-06-27 09:00:00+00:00,short,0,0,TP,518.3062925227044,10366.12585045409,0.000251,9.8478,10375.9737,0.0
2021-06-28 12:00:00+00:00,short,1,0,TP,518.7986835006011,10375.973670012021,0.001135,19.6147,10395.5883,0.0
2021-07-05 03:00:00+00:00,short,1,0,TP,519.7794164628813,10395.588329257625,0.002849,19.6517,10415.2401,0.0
2021-07-06 10:00:00+00:00,short,0,0,TP,520.7620033950615,10415.240067901228,0.000478,9.8945,10425.1345,0.0
2021-07-07 23:00:00+00:00,short,0,0,TP,521.2567272982868,10425.134545965735,0.000218,9.9039,10435.0384,0.0
2021-07-12 16:00:00+00:00,short,2,2,TP,521.7519211892202,10435.038423784403,0.005645,49.3489,10484.3873,0.0
